TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,RF TPR Drop,MLP TPR,MLP TPR Drop,RF TPR SD,RF TPR Drop SD,MLP TPR SD,MLP TPR Drop SD,RF TPR Drop CI Low,RF TPR Drop CI High,MLP TPR Drop CI Low,MLP TPR Drop CI High
dttl,-10,Fuzzers,6062.0,0.5957109864731112,0.0,0.38634114153744636,-0.07871989442428243,0.007126284565251775,0.0,0.045075410900966166,0.013272732841423105,0.0,0.0,-0.09519752691960043,-0.062242261928964426
dttl,-10,Generic,18871.0,0.9841767791849929,0.0,0.7535371734407292,0.0008054687086004764,0.004498432978181847,0.0,0.23598789253120056,0.0036549445324254013,0.0,0.0,-0.003732016790099604,0.0053429542073005565
dttl,-10,Reconnaissance,3496.0,0.3603546910755149,0.0,0.4389588100686499,-0.059382151029748274,0.012331991749770968,0.0,0.07301494832473765,0.0066365254769489065,0.0,0.0,-0.06762116474014962,-0.051143137319346936
dttl,-10,Shellcode,378.0,0.3941798941798942,0.0,0.4132275132275132,-0.058730158730158744,0.0,0.0,0.043324901790337086,0.013411419953054579,0.0,0.0,-0.07537996641235073,-0.04208035104796675
dttl,-10,Worms,44.0,0.40909090909090906,0.0,0.37727272727272726,-0.11363636363636367,0.03936479108111087,0.0,0.09453015610493372,0.03214121732666126,0.0,0.0,-0.15353855811194286,-0.07373416916078449
dttl,-5,Analysis,677.0,0.7805022156573117,0.0,0.9385524372230428,-0.005612998522895119,0.01395844567790539,0.0,0.09126787062952145,0.005467283758736162,0.0,0.0,-0.012400439632454595,0.0011744425866643572
dttl,-5,Backdoor,583.0,0.9077186963979417,0.0,0.9475128644939966,-0.004116638078902191,0.01447342923480552,0.0,0.030287923567617153,0.001955703988163221,0.0,0.0,-0.0065445760153916965,-0.0016887001424126858
dttl,-5,DoS,4089.0,0.3428222059183174,0.0,0.7263878698948398,-0.010467106872095866,0.08061078640329797,0.0,0.21982526465667288,0.0035583062091204204,0.0,0.0,-0.014884619280445363,-0.006049594463746369
dttl,-5,Exploits,11132.0,0.46679841897233204,0.0,0.6054617319439454,-0.02725476104922745,0.06433289833439168,0.0,0.10024490629261529,0.0067059997190064315,0.0,0.0,-0.03558002459545325,-0.01892949750300165
dttl,-5,Fuzzers,6062.0,0.5957109864731112,0.0,0.4184097657538766,-0.0466512702078522,0.007126284565251775,0.0,0.043399696195841296,0.00965232462057607,0.0,0.0,-0.05863429282448984,-0.03466824759121456
dttl,-5,Generic,18871.0,0.9841767791849929,0.0,0.7551163160404853,0.002384611308356732,0.004498432978181847,0.0,0.2360364615577633,0.0034835523711980545,0.0,0.0,-0.001940096830998887,0.006709319447712352
dttl,-5,Reconnaissance,3496.0,0.3603546910755149,0.0,0.46859267734553783,-0.029748283752860406,0.012331991749770968,0.0,0.07460204295902934,0.0038109017718747943,0.0,0.0,-0.03447938469664888,-0.025017182809071937
dttl,-5,Shellcode,378.0,0.3941798941798942,0.0,0.4444444444444445,-0.027513227513227524,0.0,0.0,0.053075139279732474,0.010004058413327552,0.0,0.0,-0.03993291530216904,-0.015093539724286013
dttl,-5,Worms,44.0,0.40909090909090906,0.0,0.43636363636363634,-0.05454545454545458,0.03936479108111087,0.0,0.10587104271683738,0.034467615654779765,0.0,0.0,-0.09733579098444489,-0.011755118106464263
dttl,-2,Analysis,677.0,0.7805022156573117,0.0,0.9429837518463812,-0.0011816838995568624,0.01395844567790539,0.0,0.09345884285889118,0.0021909005870298015,0.0,0.0,-0.003901610167807041,0.0015382423686933163
dttl,-2,Backdoor,583.0,0.9077186963979417,0.0,0.9502572898799315,-0.0013722126929673895,0.01447342923480552,0.0,0.0288807173936239,0.0007670902152657825,0.0,0.0,-0.0023245283018867575,-0.0004198970840480214
dttl,-2,DoS,4089.0,0.3428222059183174,0.0,0.7340180973343116,-0.0028368794326241063,0.08061078640329797,0.0,0.22001938587297534,0.0025391728740361574,0.0,0.0,-0.005989173535152138,0.00031541466990392614
dttl,-2,Exploits,11132.0,0.46679841897233204,0.0,0.622403880704276,-0.010312612288896883,0.06433289833439168,0.0,0.10203699114826421,0.0035760232297695075,0.0,0.0,-0.014752119757243106,-0.005873104820550659
dttl,-2,Fuzzers,6062.0,0.5957109864731112,0.0,0.445628505443748,-0.019432530517980873,0.007126284565251775,0.0,0.04386557962953792,0.005904627882065507,0.0,0.0,-0.026762919023853294,-0.012102142012108453
dttl,-2,Generic,18871.0,0.9841767791849929,0.0,0.7558475968417148,0.003115892109586105,0.004498432978181847,0.0,0.23574682875100866,0.003473542374512099,0.0,0.0,-0.0011963889698232946,0.007428173188995505
dttl,-2,Reconnaissance,3496.0,0.3603546910755149,0.0,0.4886727688787185,-0.00966819221967965,0.012331991749770968,0.0,0.07158051472530039,0.001756302223456423,0.0,0.0,-0.011848579856090623,-0.007487804583268678
dttl,-2,Shellcode,378.0,0.3941798941798942,0.0,0.464021164021164,-0.007936507936507953,0.0,0.0,0.04869449889880863,0.005611958580845635,0.0,0.0,-0.014903557765577358,-0.0009694581074385488
dttl,-2,Worms,44.0,0.40909090909090906,0.0,0.4727272727272728,-0.018181818181818177,0.03936479108111087,0.0,0.09958591954639386,0.029632738205466583,0.0,0.0,-0.054969823772933066,0.018606187409296714
dttl,0,Analysis,677.0,0.7805022156573117,0.0,0.9441654357459379,0.0,0.01395844567790539,0.0,0.094767530885766,0.0,0.0,0.0,0.0,0.0
dttl,0,Backdoor,583.0,0.9077186963979417,0.0,0.9516295025728988,0.0,0.01447342923480552,0.0,0.028660855676439646,0.0,0.0,0.0,0.0,0.0
dttl,0,DoS,4089.0,0.3428222059183174,0.0,0.7368549767669357,0.0,0.08061078640329797,0.0,0.2224568408058738,0.0,0.0,0.0,0.0,0.0
dttl,0,Exploits,11132.0,0.46679841897233204,0.0,0.6327164929931728,0.0,0.06433289833439168,0.0,0.10427768923588707,0.0,0.0,0.0,0.0,0.0
dttl,0,Fuzzers,6062.0,0.5957109864731112,0.0,0.4650610359617288,0.0,0.007126284565251775,0.0,0.047850997937266375,0.0,0.0,0.0,0.0,0.0
dttl,0,Generic,18871.0,0.9841767791849929,0.0,0.7527317047321287,0.0,0.004498432978181847,0.0,0.23488060905798663,0.0,0.0,0.0,0.0,0.0
dttl,0,Reconnaissance,3496.0,0.3603546910755149,0.0,0.49834096109839815,0.0,0.012331991749770968,0.0,0.07110106013463295,0.0,0.0,0.0,0.0,0.0
dttl,0,Shellcode,378.0,0.3941798941798942,0.0,0.471957671957672,0.0,0.0,0.0,0.04858658453354211,0.0,0.0,0.0,0.0,0.0
dttl,0,Worms,44.0,0.40909090909090906,0.0,0.4909090909090909,0.0,0.03936479108111087,0.0,0.09854310631217637,0.0,0.0,0.0,0.0,0.0
dttl,2,Analysis,677.0,0.7805022156573117,0.0,0.9453471196454949,0.0011816838995569068,0.01395844567790539,0.0,0.09449431374630404,0.0012358346034476813,0.0,0.0,-0.00035256143363135276,0.0027159292327451666
