Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR
2026,dttl,-5,DoS,4089,0.3763756419662509,0.3335778919051113
2026,dttl,-5,Exploits,11132,0.5514732303269853,0.4317283507006827
2026,dttl,-5,Fuzzers,6062,0.5983173870009898,0.41718904651930055
2026,dttl,-5,Generic,18871,0.9884478829950718,0.39150018546976845
2026,dttl,-5,Reconnaissance,3496,0.3641304347826087,0.33581235697940504
2026,dttl,-5,Shellcode,378,0.3941798941798942,0.35185185185185186
2026,dttl,-5,Worms,44,0.4772727272727273,0.29545454545454547
2026,dttl,-2,Analysis,677,0.7858197932053176,0.7769571639586411
2026,dttl,-2,Backdoor,583,0.9193825042881647,0.8987993138936535
2026,dttl,-2,DoS,4089,0.3763756419662509,0.3409146490584495
2026,dttl,-2,Exploits,11132,0.5514732303269853,0.4464606539705354
2026,dttl,-2,Fuzzers,6062,0.5983173870009898,0.4430880897393599
2026,dttl,-2,Generic,18871,0.9884478829950718,0.39271898680515077
2026,dttl,-2,Reconnaissance,3496,0.3641304347826087,0.3609839816933638
2026,dttl,-2,Shellcode,378,0.3941798941798942,0.38095238095238093
2026,dttl,-2,Worms,44,0.4772727272727273,0.3409090909090909
2026,dttl,0,Analysis,677,0.7858197932053176,0.7754800590841949
2026,dttl,0,Backdoor,583,0.9193825042881647,0.9005145797598628
2026,dttl,0,DoS,4089,0.3763756419662509,0.33944729762778186
2026,dttl,0,Exploits,11132,0.5514732303269853,0.45427596119295727
2026,dttl,0,Fuzzers,6062,0.5983173870009898,0.4577697129660178
2026,dttl,0,Generic,18871,0.9884478829950718,0.39346086587886175
2026,dttl,0,Reconnaissance,3496,0.3641304347826087,0.3715675057208238
2026,dttl,0,Shellcode,378,0.3941798941798942,0.3888888888888889
2026,dttl,0,Worms,44,0.4772727272727273,0.3409090909090909
2026,dttl,2,Analysis,677,0.7858197932053176,0.7769571639586411
2026,dttl,2,Backdoor,583,0.9193825042881647,0.9005145797598628
2026,dttl,2,DoS,4089,0.3763756419662509,0.34678405478112007
2026,dttl,2,Exploits,11132,0.5514732303269853,0.4626302551203737
2026,dttl,2,Fuzzers,6062,0.5983173870009898,0.4712966017815902
