Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR,RF Clean TPR,MLP Clean TPR,RF TPR Drop,MLP TPR Drop
123,sttl,-15,Backdoor,583,0.9108061749571184,0.9639794168096055,0.9193825042881647,0.9656946826758147,-0.00857632933104635,-0.0017152658662091813
123,sttl,-15,DoS,4089,0.38248960626069944,0.8202494497432135,0.46881878209831257,0.8248960626069943,-0.08632917583761313,-0.004646612863780875
123,sttl,-15,Exploits,11132,0.42768595041322316,0.6426518145885735,0.5209306503772907,0.6493891484010061,-0.09324469996406753,-0.006737333812432689
123,sttl,-15,Fuzzers,6062,0.6001319696469812,0.4625536126690861,0.6065654899373144,0.5257340811613329,-0.006433520290333172,-0.06318046849224679
123,sttl,-15,Generic,18871,0.9856923321498595,0.5943511207673149,0.987547029834137,0.8134704043240951,-0.0018546976842774843,-0.21911928355678023
123,sttl,-15,Reconnaissance,3496,0.3687070938215103,0.4653890160183066,0.3801487414187643,0.5263157894736842,-0.011441647597254023,-0.06092677345537756
123,sttl,-15,Shellcode,378,0.3941798941798942,0.4523809523809524,0.3941798941798942,0.5026455026455027,0.0,-0.05026455026455029
123,sttl,-15,Worms,44,0.38636363636363635,0.36363636363636365,0.4090909090909091,0.4772727272727273,-0.022727272727272763,-0.11363636363636365
123,sttl,-10,Analysis,677,0.7769571639586411,0.9940915805022157,0.7991137370753324,0.9940915805022157,-0.02215657311669128,0.0
123,sttl,-10,Backdoor,583,0.9108061749571184,0.9639794168096055,0.9193825042881647,0.9656946826758147,-0.00857632933104635,-0.0017152658662091813
123,sttl,-10,DoS,4089,0.38248960626069944,0.8217168011738811,0.46881878209831257,0.8248960626069943,-0.08632917583761313,-0.0031792614331132008
123,sttl,-10,Exploits,11132,0.42768595041322316,0.6447179302910528,0.5209306503772907,0.6493891484010061,-0.09324469996406753,-0.004671218109953301
123,sttl,-10,Fuzzers,6062,0.6001319696469812,0.48201913559881227,0.6065654899373144,0.5257340811613329,-0.006433520290333172,-0.043714945562520646
123,sttl,-10,Generic,18871,0.9856923321498595,0.680568067405013,0.987547029834137,0.8134704043240951,-0.0018546976842774843,-0.13290233691908215
